Wind[m/s] Leistung [kW]
0		0
0.5		0
1		1
1.5		4
2		12
2.5		27
3		55
3.5		97
4		158
4.5		239
5		341
5.5		466
6		610
6.5		771
7		945
7.5		1125
8		1305
8.5		1478
9		1636
9.5		1773
10		1881
10.5		1957
11		1995
11.5		2000
12		2000
12.5		2000
13		2000
13.5		2000
14		2000
14.5		2000
15		2000
15.5		2000
16		2000
16.5		2000
17		2000
17.5		2000
18		2000
18.5		2000
19		2000
19.5		2000
20		2000
20.5		2000
21		2000
21.5		2000
22		2000
22.5		2000
23		2000
23.5		2000
24		2000
24.5		2000
25		2000
25.5		0
26		0
